sdasdfasda	timestamp	pod	metric	value
	2025-07-31 05:37	aws-node-xqbqv	cpu_usage	0.0032154526426251
	2025-07-31 05:37	ebs-csi-node-fltgc	cpu_avg	0.0001840056347802
	2025-07-31 05:37	aws-node-t8fzj	pod_restart	0.0
	2025-07-31 05:37	cert-manager-cainjector-55cd9f77b5-98r24	cpu_usage	0.0007263645979035
	2025-07-31 05:37	cert-manager-webhook-7987476d56-qnxmd	cpu_usage	0.0003316574368093
	2025-07-31 05:37	ebs-csi-controller-76d8884b66-j8wzm	cpu_usage	0.0066515312346226
	2025-07-31 05:37	ebs-csi-node-gmw2z	cpu_usage	0.0005604459666982
	2025-07-31 05:37	frontend-665fb7799d-8vhc6	cpu_usage	2.76458123823e-05
	2025-07-31 05:37	kube-proxy-2mgjw	cpu_usage	0.0002893244709899
	2025-07-31 05:37	prometheus-prometheus-node-exporter-htv66	cpu_usage	0.0004183163847589
	2025-07-31 05:37	ebs-csi-controller-76d8884b66-ktczg	memory_usage	54525952.0
	2025-07-31 05:37	prometheus-server-7b84b7964c-6fqjr	cpu_usage	0.0059948769542892
	2025-07-31 05:37	users-758478f69-v748v	cpu_usage	2.86307633618e-05
	2025-07-31 05:37	prometheus-alertmanager-0	cpu_usage	0.0010664602395485
	2025-07-31 05:37	aws-node-t8fzj	cpu_usage	0.0032858788678957
	2025-07-31 05:37	boards-7549648968-rxqtg	cpu_usage	2.86654099866e-05
	2025-07-31 05:37	cert-manager-58dd99f969-gz6bc	cpu_usage	0.0007634851295568
	2025-07-31 05:37	coredns-844d8f59bb-j58mx	cpu_usage	0.0011657216967116
	2025-07-31 05:37	coredns-844d8f59bb-mt26b	cpu_usage	0.001138437490425
	2025-07-31 05:37	aws-load-balancer-controller-699649575d-fk44d	cpu_usage	0.002298847333646
	2025-07-31 05:37	ebs-csi-node-fltgc	cpu_usage	0.0005520169043406
	2025-07-31 05:37	aws-load-balancer-controller-699649575d-fk44d	memory_usage	29229056.0
	2025-07-31 05:37	cert-manager-cainjector-55cd9f77b5-98r24	memory_usage	13172736.0
	2025-07-31 05:37	cert-manager-webhook-7987476d56-qnxmd	memory_usage	12890112.0
	2025-07-31 05:37	ebs-csi-controller-76d8884b66-j8wzm	memory_usage	56270848.0
	2025-07-31 05:37	ebs-csi-node-gmw2z	memory_usage	20025344.0
	2025-07-31 05:37	frontend-665fb7799d-8vhc6	memory_usage	3207168.0
	2025-07-31 05:37	kube-proxy-2mgjw	memory_usage	12795904.0
	2025-07-31 05:37	prometheus-prometheus-node-exporter-q2lg7	memory_usage	9965568.0
	2025-07-31 05:37	prometheus-server-7b84b7964c-6fqjr	memory_usage	239390720.0
	2025-07-31 05:37	prometheus-prometheus-pushgateway-784c485d55-kczqb	memory_usage	8867840.0
	2025-07-31 05:37	users-758478f69-v748v	memory_usage	3153920.0
	2025-07-31 05:37	prometheus-alertmanager-0	memory_usage	15228928.0
	2025-07-31 05:37	aws-node-t8fzj	memory_usage	78974976.0
	2025-07-31 05:37	boards-7549648968-rxqtg	memory_usage	3211264.0
	2025-07-31 05:37	kube-proxy-sct9q	cpu_usage	0.0002664708035714
	2025-07-31 05:37	grafana-58f7855dcb-drbv8	cpu_usage	0.0034719226121291
	2025-07-31 05:37	ebs-csi-controller-76d8884b66-ktczg	cpu_usage	0.0029323119892728
	2025-07-31 05:37	coredns-844d8f59bb-j58mx	memory_usage	16818176.0
	2025-07-31 05:37	cert-manager-58dd99f969-gz6bc	memory_usage	22405120.0
	2025-07-31 05:37	aws-node-xqbqv	memory_usage	79724544.0
	2025-07-31 05:37	ebs-csi-controller-76d8884b66-ktczg	pod_restart	0.0
	2025-07-31 05:37	grafana-58f7855dcb-drbv8	pod_restart	0.0
	2025-07-31 05:37	ebs-csi-node-fltgc	pod_pending	1.0
	2025-07-31 05:37	cert-manager-webhook-7987476d56-qnxmd	pod_pending	1.0
	2025-07-31 05:37	frontend-665fb7799d-8vhc6	pod_pending	1.0
	2025-07-31 05:37	kube-proxy-sct9q	net_transmit	13882.936507936509
	2025-07-31 05:37	kube-proxy-sct9q	memory_usage	13426688.0
	2025-07-31 05:37	prometheus-alertmanager-0	pod_pending	1.0
	2025-07-31 05:37	prometheus-kube-state-metrics-57d654d7bf-g92qr	memory_usage	16654336.0
	2025-07-31 05:37	prometheus-prometheus-node-exporter-htv66	memory_usage	9932800.0
	2025-07-31 05:37	grafana-58f7855dcb-drbv8	pod_pending	1.0
	2025-07-31 05:37	ebs-csi-node-gmw2z	pod_pending	1.0
	2025-07-31 05:37	aws-node-t8fzj	pod_pending	1.0
	2025-07-31 05:37	coredns-844d8f59bb-j58mx	pod_pending	1.0
